numero,type,soustype,adresse,code_postal,ville,arrondissement,conseilquartier,datedecl,anneedecl,moisdecl,prefixe,intervenant,id_dmr,geo_shape,geo_point_2d,mois_annee_decla
63171,Activités commerciales et professionnelles,Étalages et terrasses à usage commercial : Gêne à la circulation / Étalage excessif,"21 Rue Dussoubs, 75002 PARIS",75002,Paris 02,2,re - HALLES - BEAUBOURG - MONTORGUEIL,2023-09-24,2023,9,Android,DPMP-Divisions,G2023I063171,"{'type': 'Feature', 'geometry': {'coordinates': [2.348902702201263, 48.865871428111745], 'type': 'Point'}, 'properties': {}}","{'lon': 2.348902702201263, 'lat': 48.865871428111745}",2023-09
5290,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Colonne à verre","16 Rue des Quatre-Fils, 75003 PARIS",75003,Paris 03,3,re - MARAIS - ARCHIVES,2023-09-03,2023,9,Android,DERICHEBOURG,G2023I005290,"{'type': 'Feature', 'geometry': {'coordinates': [2.3597288132650327, 48.860832213503485], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3597288132650327, 'lat': 48.860832213503485}",2023-09
6668,Propreté,Épanchement d'urine,"9 Rue de l'avenue Maria, 75004 PARIS",75004,Paris 04,4,re - SEINE,2023-09-03,2023,9,Android,DPE-STPP-DT,G2023I006668,"{'type': 'Feature', 'geometry': {'coordinates': [2.3601493831462026, 48.85280609002942], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3601493831462026, 'lat': 48.85280609002942}",2023-09
6540,Propreté,Déjections canines,"117 Rue du Temple, 75003 PARIS",75003,Paris 03,3,re - MARAIS - ARCHIVES,2023-09-03,2023,9,IOPage DMR Paris.fr application,DPE-STPP-DT,A2023I006540,"{'type': 'Feature', 'geometry': {'coordinates': [2.357997894713139, 48.86316299329022], 'type': 'Point'}, 'properties': {}}","{'lon': 2.357997894713139, 'lat': 48.86316299329022}",2023-09
72033,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","5 Place de la Bastille, 75004 PARIS",75004,Paris 04,4,re - MARAIS - PLACE DES VOSGES,2024-06-22,2024,6,IOPage DMR Paris.fr application,graffitis,A2024F072033,"{'type': 'Feature', 'geometry': {'coordinates': [2.3682253363671477, 48.85338592476093], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3682253363671477, 'lat': 48.85338592476093}",2024-06
27009,Objets abandonnés,[] A requalifier de ramen,"11 Rue de Rivoli, 75004 PARIS",75004,Paris 04,4,re - SEINE,2023-10-09,2023,10,IOPage DMR Paris.fr application,DPE-STPP-DT,A2023J027009,"{'type': 'Feature', 'geometry': {'coordinates': [2.3584036832846924, 48.85572051899981], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3584036832846924, 'lat': 48.85572051899981}",2023-10
21427,"Autos, motos, vélos, trottinettes...",[] Deux-roues motorisé en stationnement gênant U2,"33 Rue Chapon, 75003 PARIS",75003,Paris 03,3,re - HALLES - BEAUBOURG - MONTORGUEIL,2023-09-08,2023,9,IOPage DMR Paris.fr application,DPMP-Divisions,A2023I021427,"{'type': 'Feature', 'geometry': {'coordinates': [2.3541173929039765, 48.86387634197081], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3541173929039765, 'lat': 48.86387634197081}",2023-09
59933,Objets abandonnés,Cartons ou sacs de déchets ménagers,"10 Square Sainte-Croix de la Bretonnerie, 75004 PARIS",75004,Paris 04,4,re - MARAIS - ARCHIVES,2023-09-23,2023,9,IOPage DMR Paris.fr application,DPE-STPP-DT,A2023I059933,"{'type': 'Feature', 'geometry': {'coordinates': [2.3546915051904023, 48.85854720942845], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3546915051904023, 'lat': 48.85854720942845}",2023-09
26424,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","47 Boulevard Saint-Martin, 75010 PARIS",75010,Paris 10,10,re - SENTIER - ARTS ET METIERS,2024-06-09,2024,6,IOPage DMR Paris.fr application,graffitis,A2024F026424,"{'type': 'Feature', 'geometry': {'coordinates': [2.356633186869358, 48.86865997239653], 'type': 'Point'}, 'properties': {}}","{'lon': 2.356633186869358, 'lat': 48.86865997239653}",2024-06
30494,"Autos, motos, vélos, trottinettes...",Épave de Vélib',"10 Rue de Saintonge, 75003 PARIS",75003,Paris 03,3,re - MARAIS - ARCHIVES,2024-07-09,2024,7,Android,SMOVENGO_velib,G2024G030494,"{'type': 'Feature', 'geometry': {'coordinates': [2.3621950150730835, 48.86145400928172], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3621950150730835, 'lat': 48.86145400928172}",2024-07
