numero,type,soustype,adresse,code_postal,ville,arrondissement,conseilquartier,datedecl,anneedecl,moisdecl,prefixe,intervenant,id_dmr,geo_shape,geo_point_2d,mois_annee_decla
25115,"Arbres, végétaux et animaux",Pied d'arbre : Végétation débordante en pied d'arbre,"20 Rue Gustave Charpentier, 75017 PARIS",75017,Paris 17,17,TERNES - MAILLOT,2024-07-08,2024,7,Android,DPE-STPP-DT,G2024G025115,"{'type': 'Feature', 'geometry': {'coordinates': [2.2807090280296136, 48.880134581965216], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2807090280296136, 'lat': 48.880134581965216}",2024-07
62715,"Autos, motos, vélos, trottinettes...",Épave d'automobile ou d'un autre véhicule motorisé,"37 Rue des Orteaux, 75020 PARIS",75020,Paris 20,20,REUNION - PERE LACHAISE,2023-09-24,2023,9,IOPage DMR Paris.fr application,DPMP-UEV,A2023I062715,"{'type': 'Feature', 'geometry': {'coordinates': [2.4016044138915014, 48.856658934881395], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4016044138915014, 'lat': 48.856658934881395}",2023-09
904,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","18 Rue Lamartine, 75009 PARIS",75009,Paris 09,9,PIGALLE - MARTYRS,2023-09-01,2023,9,Android,graffitis,G2023I000904,"{'type': 'Feature', 'geometry': {'coordinates': [2.3427565091921863, 48.87662887480789], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3427565091921863, 'lat': 48.87662887480789}",2023-09
1815,Objets abandonnés,Gravats ou déchets de chantier,"24 Rue de la Véga, 75012 PARIS",75012,Paris 12,12,BEL - AIR SUD,2023-09-01,2023,9,IOPage DMR Paris.fr application,Ramen,A2023I001815,"{'type': 'Feature', 'geometry': {'coordinates': [2.405424117780767, 48.83836746133066], 'type': 'Point'}, 'properties': {}}","{'lon': 2.405424117780767, 'lat': 48.83836746133066}",2023-09
21950,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","149 boulevard de Magenta, 75010 PARIS",75010,Paris 10,10,SAINT - VINCENT DE PAUL - LARIBOISIERE,2023-09-08,2023,9,Android,graffitis,G2023I021950,"{'type': 'Feature', 'geometry': {'coordinates': [2.350110054075785, 48.88263320805334], 'type': 'Point'}, 'properties': {}}","{'lon': 2.350110054075785, 'lat': 48.88263320805334}",2023-09
63172,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Autre mobilier urbain","118 Boulevard de Magenta, 75010 PARIS",75010,Paris 10,10,SAINT - VINCENT DE PAUL - LARIBOISIERE,2023-09-24,2023,9,IOPage DMR Paris.fr application,graffitis,A2023I063172,"{'type': 'Feature', 'geometry': {'coordinates': [2.3537402149830555, 48.87926101625036], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3537402149830555, 'lat': 48.87926101625036}",2023-09
62391,Objets abandonnés,Autres objets encombrants abandonnés,"13 Rue des Couronnes, 75020 PARIS",75020,Paris 20,20,BELLEVILLE,2023-09-24,2023,9,IOPage DMR Paris.fr application,Ramen,A2023I062391,"{'type': 'Feature', 'geometry': {'coordinates': [2.3819320195760336, 48.86951446410771], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3819320195760336, 'lat': 48.86951446410771}",2023-09
63139,"Graffitis, tags, affiches et autocollants","Graffitis et autocollants sur mur, façade sur rue, pont et descente d'eau pluviale","25 Rue de Dunkerque, 75010 PARIS",75010,Paris 10,10,SAINT - VINCENT DE PAUL - LARIBOISIERE,2023-09-24,2023,9,IOPage DMR Paris.fr application,graffitis,A2023I063139,"{'type': 'Feature', 'geometry': {'coordinates': [2.3540406233773736, 48.87990569972405], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3540406233773736, 'lat': 48.87990569972405}",2023-09
8609,Propreté,Déchets et/ou salissures divers,"81 Rue Petit, 75019 PARIS",75019,Paris 19,19,MANIN - JAURES,2023-09-04,2023,9,Android,DPE-STPP-DT,G2023I008609,"{'type': 'Feature', 'geometry': {'coordinates': [2.3908498285083915, 48.88616180304625], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3908498285083915, 'lat': 48.88616180304625}",2023-09
63356,Propreté,Déchets et/ou salissures divers,"55 Rue Mademoiselle, 75015 PARIS",75015,Paris 15,15,SAINT - LAMBERT,2023-09-24,2023,9,IOPage DMR Paris.fr application,DPE-STPP-DT,A2023I063356,"{'type': 'Feature', 'geometry': {'coordinates': [2.298767805303871, 48.843784331524695], 'type': 'Point'}, 'properties': {}}","{'lon': 2.298767805303871, 'lat': 48.843784331524695}",2023-09
